cohort_month,months_since_cohort,cohort_size,retained_users,retention_rate
2020-01-01,0,166,166,100.0
2020-01-01,1,166,99,59.64
2020-01-01,2,166,112,67.47
2020-01-01,3,166,107,64.46
2020-01-01,4,166,103,62.05
2020-01-01,5,166,103,62.05
2020-01-01,6,166,104,62.65
2020-01-01,7,166,101,60.84
2020-01-01,8,166,109,65.66
2020-01-01,9,166,102,61.45
2020-01-01,10,166,119,71.69
2020-01-01,11,166,90,54.22
2020-01-01,12,166,100,60.24
2020-01-01,13,166,107,64.46
2020-01-01,14,166,131,78.92
2020-01-01,15,166,137,82.53
2020-01-01,16,166,128,77.11
2020-01-01,17,166,135,81.33
2020-01-01,18,166,129,77.71
2020-01-01,19,166,131,78.92
2020-01-01,20,166,133,80.12
2020-01-01,21,166,100,60.24
2020-01-01,22,166,99,59.64
2020-01-01,23,166,111,66.87
2020-01-01,24,166,95,57.23
2020-01-01,25,166,105,63.25
2020-01-01,26,166,129,77.71
2020-01-01,27,166,138,83.13
2020-01-01,28,166,133,80.12
2020-01-01,29,166,131,78.92
2020-01-01,30,166,129,77.71
2020-01-01,31,166,133,80.12
2020-01-01,32,166,136,81.93
2020-01-01,33,166,100,60.24
2020-01-01,34,166,114,68.67
2020-01-01,35,166,99,59.64
2020-01-01,36,166,97,58.43
2020-01-01,37,166,95,57.23
2020-01-01,38,166,134,80.72
2020-01-01,39,166,135,81.33
2020-01-01,40,166,134,80.72
2020-01-01,41,166,137,82.53
2020-01-01,42,166,127,76.51
2020-01-01,43,166,135,81.33
2020-01-01,44,166,135,81.33
2020-01-01,45,166,111,66.87
2020-01-01,46,166,99,59.64
2020-01-01,47,166,95,57.23
2020-01-01,48,166,114,68.67
2020-01-01,49,166,91,54.82
2020-01-01,50,166,61,36.75
2020-01-01,51,166,58,34.94
2020-01-01,52,166,54,32.53
2020-01-01,53,166,57,34.34
2020-01-01,54,166,57,34.34
2020-02-01,0,67,67,100.0
2020-02-01,1,67,29,43.28
2020-02-01,2,67,28,41.79
2020-02-01,3,67,23,34.33
2020-02-01,4,67,37,55.22
2020-02-01,5,67,27,40.3
2020-02-01,6,67,25,37.31
2020-02-01,7,67,33,49.25
2020-02-01,8,67,30,44.78
2020-02-01,9,67,28,41.79
2020-02-01,10,67,27,40.3
2020-02-01,11,67,32,47.76
2020-02-01,12,67,29,43.28
2020-02-01,13,67,39,58.21
2020-02-01,14,67,38,56.72
2020-02-01,15,67,40,59.7
2020-02-01,16,67,39,58.21
2020-02-01,17,67,40,59.7
2020-02-01,18,67,38,56.72
2020-02-01,19,67,38,56.72
2020-02-01,20,67,29,43.28
2020-02-01,21,67,32,47.76
2020-02-01,22,67,28,41.79
2020-02-01,23,67,34,50.75
2020-02-01,24,67,27,40.3
