cohort_month,month_0,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,month_13,month_14,month_15,month_16,month_17,month_18,month_19,month_20,month_21,month_22,month_23,month_24,month_25,month_26,month_27,month_28,month_29,month_30,month_31,month_32,month_33,month_34,month_35,month_36,month_37,month_38,month_39,month_40,month_41,month_42,month_43,month_44,month_45,month_46,month_47,month_48,month_49,month_50,month_51,month_52,month_53,month_54
2020-01-01,100.0,59.64,67.47,64.46,62.05,62.05,62.65,60.84,65.66,61.45,71.69,54.22,60.24,64.46,78.92,82.53,77.11,81.33,77.71,78.92,80.12,60.24,59.64,66.87,57.23,63.25,77.71,83.13,80.12,78.92,77.71,80.12,81.93,60.24,68.67,59.64,58.43,57.23,80.72,81.33,80.72,82.53,76.51,81.33,81.33,66.87,59.64,57.23,68.67,54.82,36.75,34.94,32.53,34.34,34.34
2020-02-01,100.0,43.28,41.79,34.33,55.22,40.3,37.31,49.25,44.78,41.79,40.3,47.76,43.28,58.21,56.72,59.7,58.21,59.7,56.72,56.72,43.28,47.76,41.79,50.75,40.3,50.75,59.7,56.72,47.76,56.72,55.22,55.22,49.25,43.28,52.24,49.25,41.79,62.69,58.21,61.19,67.16,56.72,62.69,59.7,44.78,50.75,49.25,50.75,40.3,26.87,23.88,20.9,22.39,19.4,
2020-03-01,100.0,28.57,30.61,26.53,30.61,26.53,32.65,34.69,32.65,28.57,24.49,24.49,36.73,32.65,38.78,34.69,38.78,24.49,36.73,32.65,26.53,30.61,26.53,22.45,30.61,32.65,30.61,38.78,34.69,32.65,34.69,24.49,28.57,34.69,26.53,32.65,36.73,42.86,40.82,36.73,34.69,36.73,38.78,24.49,24.49,20.41,26.53,20.41,6.12,8.16,8.16,6.12,8.16,,
2020-04-01,100.0,12.2,14.63,14.63,12.2,9.76,12.2,19.51,24.39,26.83,12.2,12.2,24.39,9.76,19.51,19.51,14.63,14.63,12.2,17.07,9.76,12.2,12.2,17.07,17.07,21.95,12.2,19.51,24.39,17.07,26.83,19.51,9.76,14.63,17.07,17.07,14.63,17.07,14.63,21.95,21.95,17.07,17.07,14.63,9.76,19.51,9.76,7.32,7.32,2.44,2.44,7.32,,,
2020-05-01,100.0,16.67,10.0,13.33,13.33,26.67,6.67,20.0,13.33,13.33,10.0,13.33,16.67,16.67,6.67,10.0,16.67,10.0,13.33,20.0,23.33,3.33,10.0,26.67,10.0,6.67,13.33,10.0,10.0,13.33,6.67,10.0,6.67,10.0,10.0,6.67,10.0,3.33,10.0,13.33,10.0,23.33,10.0,13.33,13.33,6.67,3.33,3.33,,3.33,6.67,,,,
2020-06-01,100.0,17.65,8.82,11.76,5.88,14.71,11.76,11.76,5.88,2.94,5.88,2.94,2.94,8.82,2.94,8.82,5.88,8.82,5.88,17.65,2.94,8.82,,5.88,5.88,,5.88,8.82,8.82,2.94,5.88,17.65,2.94,5.88,11.76,5.88,11.76,2.94,8.82,14.71,5.88,5.88,8.82,5.88,2.94,,,,,,,,,,
2020-07-01,100.0,18.75,12.5,6.25,12.5,18.75,,6.25,6.25,18.75,12.5,18.75,18.75,18.75,18.75,12.5,6.25,12.5,12.5,,12.5,18.75,18.75,12.5,12.5,12.5,12.5,12.5,25.0,31.25,37.5,18.75,12.5,12.5,12.5,18.75,12.5,12.5,6.25,12.5,25.0,12.5,12.5,,,,6.25,,,,,,,,
2020-08-01,100.0,8.0,4.0,12.0,,8.0,8.0,8.0,8.0,4.0,4.0,4.0,12.0,,8.0,12.0,4.0,4.0,4.0,8.0,8.0,4.0,20.0,8.0,12.0,8.0,4.0,8.0,4.0,4.0,12.0,4.0,,16.0,4.0,4.0,8.0,8.0,8.0,8.0,4.0,20.0,,,,,,,,,,,,,
2020-09-01,100.0,6.25,6.25,,12.5,6.25,12.5,6.25,12.5,6.25,,6.25,12.5,6.25,,6.25,6.25,,6.25,6.25,6.25,,6.25,12.5,6.25,25.0,6.25,25.0,12.5,,,6.25,,,18.75,12.5,6.25,6.25,12.5,6.25,12.5,6.25,,,,,,,,,,,,,
2020-10-01,100.0,6.67,6.67,13.33,13.33,6.67,6.67,6.67,13.33,,6.67,6.67,26.67,6.67,13.33,6.67,13.33,,6.67,13.33,,6.67,,,6.67,,,13.33,13.33,13.33,20.0,13.33,13.33,6.67,6.67,6.67,6.67,6.67,13.33,13.33,,,,,,,,,,,,,,,
